,Name,Address,Link
0,GREEN GINI,"Garia, Kolkata, West Bengal",https://www.indiamart.com/proddetail/90-pure-organic-vermicompost-24770409473.html?pos=1&kwd=vermicompost&tags=A||||9120.144|Price|proxy|
1,GREEN GINI,"Garia, Kolkata, West Bengal",https://www.indiamart.com/proddetail/100-pure-organic-vermicompost-24818472955.html?pos=1.1&kwd=vermicompost&tags=A||||9120.144|Price|product|
2,GREEN GINI,"Garia, Kolkata, West Bengal",https://www.indiamart.com/proddetail/badam-khol-organic-fertilizer-24875058855.html?pos=1.2&kwd=vermicompost&tags=||||9120.144|Price|product|
3,GREEN GINI,"Garia, Kolkata, West Bengal",https://www.indiamart.com/proddetail/bio-organic-manure-24770485097.html?pos=1.3&kwd=vermicompost&tags=||||9120.144|Price|product|
4,RACHANA GUILD PRIVATE LIMITED,"Income Tax, Ahmedabad, Gujarat",https://www.indiamart.com/proddetail/tulsi-worm-vermicompost-power-11825018648.html?pos=2&kwd=vermicompost&tags=A||||7613.566|Price|proxy|
5,RACHANA GUILD PRIVATE LIMITED,"Income Tax, Ahmedabad, Gujarat",https://www.indiamart.com/proddetail/vermi-bed-21392375062.html?pos=2.1&kwd=vermicompost&tags=||||7613.566|Price|product|
6,RACHANA GUILD PRIVATE LIMITED,"Income Tax, Ahmedabad, Gujarat",https://www.indiamart.com/proddetail/bio-organic-manure-16307777730.html?pos=2.2&kwd=vermicompost&tags=||||7613.566|Price|product|
7,RACHANA GUILD PRIVATE LIMITED,"Income Tax, Ahmedabad, Gujarat",https://www.indiamart.com/proddetail/tulsi-super-power-organic-manure-18193491788.html?pos=2.3&kwd=vermicompost&tags=||||7613.566|Price|product|
8,LAXMI ORGANICS,"Bagwara, Jaipur, Rajasthan",https://www.indiamart.com/proddetail/vermicompost-agricultural-fertilizer-23257507355.html?pos=3&kwd=vermicompost&tags=A||||8042.3813|Price|proxy|
9,LAXMI ORGANICS,"Bagwara, Jaipur, Rajasthan",https://www.indiamart.com/proddetail/red-earthworms-for-vermicompost-23257507462.html?pos=3.1&kwd=vermicompost&tags=||||8042.3813|Price|product|
10,LAXMI ORGANICS,"Bagwara, Jaipur, Rajasthan",https://www.indiamart.com/proddetail/agriculture-hdpe-vermi-beds-23257507633.html?pos=3.2&kwd=vermicompost&tags=||||8042.3813|Price|product|
